Occurred On (NT),Cleared On (NT),MO Name,Name
02/01/2025 13:14,02/01/2025 13:15,"NodeB Name=SUCOASLT7109Z, LogicRNCID=140",NodeB Unavailable
02/01/2025 14:16,02/01/2025 15:18,"NodeB Name=NLEPGG0882, LogicRNCID=140",NodeB Unavailable
02/01/2025 14:24,02/01/2025 17:13,"NodeB Name=NLEPES2338, LogicRNCID=140",NodeB Unavailable
02/01/2025 14:24,02/01/2025 17:13,"NodeB Name=NLEAPO0508, LogicRNCID=140",NodeB Unavailable
02/01/2025 14:24,02/01/2025 17:13,"NodeB Name=NLEPES1847, LogicRNCID=140",NodeB Unavailable
02/01/2025 15:24,02/01/2025 17:13,"NodeB Name=GUASAL0478, LogicRNCID=160",NodeB Unavailable
02/01/2025 15:46,02/01/2025 16:31,"NodeB Name=ZACVLP1588, LogicRNCID=160",NodeB Unavailable
02/01/2025 15:46,02/01/2025 16:31,"NodeB Name=ZACVLN1587, LogicRNCID=160",NodeB Unavailable
02/01/2025 16:19,02/01/2025 16:21,"NodeB Name=NLEAPO0524, LogicRNCID=140",NodeB Unavailable
02/01/2025 16:41,02/01/2025 17:24,"NodeB Name=GUASAL1858, LogicRNCID=160",NodeB Unavailable
02/01/2025 16:45,02/01/2025 16:47,"NodeB Name=GUASAL0469, LogicRNCID=160",NodeB Unavailable
02/01/2025 16:45,02/01/2025 16:47,"NodeB Name=GUAYUR0550, LogicRNCID=160",NodeB Unavailable
02/01/2025 16:45,02/01/2025 16:47,"NodeB Name=GUASVT0535, LogicRNCID=160",NodeB Unavailable
02/01/2025 16:45,02/01/2025 16:47,"NodeB Name=GUASVT0537, LogicRNCID=160",NodeB Unavailable
02/01/2025 16:45,02/01/2025 16:47,"NodeB Name=GUASAL0471, LogicRNCID=160",NodeB Unavailable
02/01/2025 16:45,02/01/2025 16:47,"NodeB Name=GUASAL0473, LogicRNCID=160",NodeB Unavailable
02/01/2025 16:46,02/01/2025 16:47,"NodeB Name=SUGUASAL7097Z, LogicRNCID=160",NodeB Unavailable
02/01/2025 16:56,02/01/2025 17:01,"NodeB Name=GUALEO0341, LogicRNCID=160",NodeB Unavailable
02/01/2025 17:13,02/01/2025 17:14,"NodeB Name=NLEPES1847, LogicRNCID=140",NodeB Unavailable
02/01/2025 20:24,02/01/2025 22:23,"NodeB Name=TAMREY1591, LogicRNCID=141",NodeB Unavailable
